AnnoMese;PUN (€/kWh);PSV (€/Smc);PE (€/kWh);CMEM (€/Smc);Pfor (€/Smc);Psbil (€/Smc)
202001;0,04747;0,14231;0,0653;0,20067;0,17855;0,14231
202002;0,0393;0,11278;0,0653;0,20067;0,17855;0,112778
202003;0,03199;0,10732;0,0653;0,20067;0,17855;0,107321
202004;0,02481;0,09191;0,03037;0,12315;0,10103;0,091913
202005;0,02179;0,07148;0,03037;0,12315;0,10103;0,071476
202006;0,02801;0,06741;0,03037;0,12315;0,10103;0,06741
202007;0,03801;0,06976;0,02999;0,08483;0,06272;0,069764
202008;0,04032;0,09202;0,02999;0,08483;0,06272;0,09202
202009;0,0488;0,12466;0,02999;0,08483;0,06272;0,124655
202010;0,04357;0,14734;0,05645;0,14483;0,12272;0,147339
202011;0,04875;0,15012;0,05645;0,14483;0,12272;0,150121
202012;0,05404;0,17634;0,05645;0,14483;0,12272;0,176336
202101;0,06071;0,211288;0,06256;0,173305;0,150864;0,211288
202102;0,05657;0,192838;0,06256;0,173305;0,150864;0,192838
202103;0,06039;0,197326;0,06256;0,173305;0,150864;0,197326
202104;0,06902;0,232217;0,06595;0,197884;0,17665;0,232217
202105;0,06991;0,273613;0,06595;0,197884;0,17665;0,273613
202106;0,0848;0,303444;0,06595;0,197884;0,17665;0,303444
202107;0,102656;0,380317;0,10691;0,285805;0,264572;0,380317
202108;0,112395;0,457053;0,10691;0,285805;0,264572;0,457053
202109;0,158585;0,679868;0,10691;0,285805;0,264572;0,679868
202110;0,217626;0,944401;0,19248;0,499211;0,477978;0,944401
202111;0,225953;0,868136;0,19248;0,499211;0,477978;0,868136
202112;0,281242;1,21412;0,19248;0,499211;0,477978;1,21412
202201;0,224501;0,927178;0,29326;0,879436;0,858031;0,9433
202202;0,21169;0,882881;0,29326;0,879436;0,858031;0,887499
202203;0,308069;1,370241;0,29326;0,879436;0,858031;1,40036
202204;0,245975;1,098903;0,25592;0,85957;0,838164;1,10092
202205;0,230056;0,983011;0,25592;0,85957;0,838164;0,998541
202206;0,271311;1,126576;0,25592;0,85957;0,838164;1,139485
202207;0,441645;1,870511;0,27665;1,049988;1,028582;1,898145
202208;0,543154;2,488813;0,27665;1,049988;1,028582;2,508387
202209;0,42992;1,991105;0,27665;1,049988;1,028582;2,022928
202210;0,211497;0,860683;0,50162;0,835182;;0,907424
202211;0,224512;0,989404;0,50162;0,975849;;1,053374
202212;0,294907;1,215664;0,50162;1,247659;;1,224724
202301;0,17449;0,720646;0,36123;0,731604;;0,737596
202302;0,161071;0,606299;0,36123;0,608549;;0,613449
202303;0,136384;0,498587;0,36123;0,498408;;0,513405
202304;0,134972;0,482367;0,06755;0,479694;;0,491958
202305;0,105728;0,372084;0,06755;0,364547;;0,378081
202306;0,105341;0,359672;0,06755;0,354598;;0,378439
202307;0,11209;0,342021;0,07109;0,336178;;0,350652
202308;0,111889;0,366892;0,07109;0,355331;;0,383467
202309;0,115697;0,39617;0,07109;0,396386;;0,409447
202310;0,134255;0,466744;0,11326;0,467879;;0,479965
202311;0,121736;0,454985;0,11326;0,455089;;0,461989
202312;0,115461;0,389114;0,11326;0,388501;;0,401861
202401;0,099157;0,333624;0,13111;0,333736;;0,341939
202402;0,087626;0,296839;0,13111;0,297889;;0,301195
202403;0,088862;0,311332;0,13111;0,307491;;0,321344
202404;0,086803;0,329532;0,08216;0,326265;;0,331641
202405;0,094883;0,356149;0,08216;0,352949;;0,362559
202406;0,10317;0,389832;0,08216;0,386328;;0,394712
202407;0,11232;0,37729;0,1223;0,378862;;0,380119
202408;0,128435;0,435871;0,1223;0,43379;;0,443105
202409;0,117126;0,415284;0,1223;0,415249;;0,417213
202410;0,116688;0,43713;0,14144;0,436849;;0,437541
202411;0,130889;0,48416;0,14144;0,482922;;0,485407
202412;0,135065;0,509467;0,14144;0,509233;;0,512638
